point ,geomorph_zone,potential_dist,TSR ,realTSR,Y-decimal,X-decimal,rad_raster,altitude_m,slope,logslope,aspect ,E,N,plan curvature,plan_num,profile_curv,profile_num,curvature DEM,stoniness_surf,stoniness_soil,veg_type,veg_cover,texture_class,sorting,sand fraction,pH_field,soil_class,SSD
M33 ,development,bare rock,1912.7,98.3,46.44275,9.938388889,1188318,1969,20,1.301029996,144,0.59,-0.81,convex,1,concave,3,0.64,85,50,,5,sand,poor,coarse sand,5,humiskeletic leptosol,1.25
M34 ,development,bare rock,1916.6,94.4,46.44222222,9.937972222,1158060,1974,23,1.361727836,170,0.17,-0.98,convex,1,convex,1,-0.16,90,50,,10,sand,poor,coarse sand,5,humiskeletic leptosol,0.5
M35 ,development,none,1921,90,46.44136111,9.9365,1260139,1984,35,1.544068044,188,-0.14,-0.99,straight,2,convex,1,-0.64,85,35,,30,sand,poor,coarse sand,5,humic leptosol,0.65
M36 ,development,none,1915.3,95.7,46.44272222,9.939083333,1146704,1959,0,0,,,,straight,2,straight,2,-0.64,20,40,,80,sand,poor,coarse sand,5,humiskeletic leptosol,4.8
M37 ,development,none,1915.3,95.7,46.44272222,9.939083333,1146704,1959,2,0.301029996,56,0.83,0.56,convex,1,convex,1,-0.64,80,50,,20,sand,poor,coarse sand,5,humiskeletic leptosol,0.5
M38 ,development,none,2006,5,46.42641667,9.935055556,975818,2033,35,1.544068044,286,-0.96,0.28,straight,2,straight,2,-0.16,95,60,,0,sand,poor,coarse sand,7.2,skeletic leptosol,0
M39 ,development,none,2004.3,6.7,46.42680556,9.935166667,1125287,2027,45,1.653212514,296,-0.9,0.44,concave,3,concave,3,-0.48,70,45,,0,sand,poor,coarse sand,7,skeletic leptosol,0
M45 ,development,bare rock,1852.3,158.7,46.44836111,9.942527778,1071171,1909,30,1.477121255,242,-0.88,-0.47,straight,2,straight,2,-0.32,15,50,,85,sand,poor,coarse sand,5,humiskeletic leptosol,3
M46 ,development,bare rock,1862.9,148.1,46.4475,9.942916667,1097409,1915,2,0.301029996,16,0.28,0.96,straight,2,straight,2,-0.48,10,15,,90,sand,poor,coarse sand,5.5,humic leptosol,3.4
M47 ,development,bare rock,1881.1,129.9,46.44672222,9.942333333,1089242,1922,3,0.477121255,44,0.69,0.72,convex,1,convex,1,0.32,90,45,,10,sand,poor,coarse sand,6,skeletic leptosol,0
